Accession,Signal_Peptide,Subcellular_Location
P10417,,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:29020630}.
Q9Z1B8,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18086877}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Localizes specifically to the promoters of numerous target genes. Localizes to double-strand breaks (DSBs) sites following DNA damage. Colocalizes with NEK6 in the centrosome (By similarity). {ECO:0000250}."
Q8BLG0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22072714}.
Q9JJT9,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H814}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9H814}. Nucleus, Cajal body {ECO:0000250|UniProtKB:Q9H814}. Cytoplasm {ECO:0000269|PubMed:10786834}. Note=Shuttles between the nucleus and the cytoplasm. Shuttles between the nucleoplasm and Cajal bodies. {ECO:0000250|UniProtKB:Q9H814}."
Q8VDD9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17636024}.
D3YZI9,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24180413}.
P52946,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:17052199}. Cytoplasm, cytosol {ECO:0000269|PubMed:17052199}."
P17918,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24115439}. Note=Colocalizes with CREBBP, EP300 and POLD1 to sites of DNA damage (By similarity). Forms nuclear foci representing sites of ongoing DNA replication and vary in morphology and number during S phase. Together with APEX2, is redistributed in discrete nuclear foci in presence of oxidative DNA damaging agents. {ECO:0000250|UniProtKB:P12004}."
Q07832,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P53350}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:25533956}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P53350}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P53350}. Midbody {ECO:0000250|UniProtKB:P53350}. Note=localization at the centrosome starts at the G1/S transition (By similarity). During early stages of mitosis, the phosphorylated form is detected on centrosomes and kinetochores. Localizes to the outer kinetochore. Presence of SGO1 and interaction with the phosphorylated form of BUB1 is required for the kinetochore localization. Localizes onto the central spindle by phosphorylating and docking at midzone proteins KIF20A/MKLP2 and PRC1 (By similarity). Colocalizes with FRY to separating centrosomes and spindle poles from prophase to metaphase in mitosis, but not in other stages of the cell cycle (By similarity). Localization to the centrosome is required for S phase progression (By similarity). Colocalizes with HSF1 at the spindle poles during prometaphase (By similarity). {ECO:0000250|UniProtKB:P53350}."
Q4FZD7,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:20100802}. Cytoplasm {ECO:0000250}."
Q6IUP1,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16690745, ECO:0000269|PubMed:28504655}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:16690745, ECO:0000269|PubMed:28504655}."
Q8K004,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29025062}. Nucleus {ECO:0000250|UniProtKB:Q66HP6}.
